Country/Area,Good,Child Labor,Forced Labor,Forced Child Labor
Eswatini,Bovines,1,0,0
Ethiopia,Cattle,1,0,0
Ethiopia,Gold,1,0,0
Ethiopia,Khat (stimulant),1,0,0
Ethiopia,Textiles (hand-woven),1,1,1
Ghana,Bovines,1,0,0
Ghana,Cocoa,1,0,0
Ghana,Fish,1,1,1
Ghana,Gold,1,0,0
Ghana,Rice,1,0,0
Ghana,Textiles,1,0,0
Ghana,Tilapia (fish),1,1,1
Guatemala,Broccoli,1,0,0
Guatemala,Coffee,1,0,0
Guatemala,Corn,1,0,0
Guatemala,Fireworks,1,0,0
Guatemala,Gravel (crushed stones),1,0,0
Guatemala,Sugarcane,1,0,0
Guinea,Cashews,1,0,0
Guinea,Cocoa,1,0,0
Guinea,Coffee,1,0,0
Guinea,Diamonds,1,0,0
Guinea,Gold,1,0,0
Honduras,Coffee,1,0,0
Honduras,Lobsters,1,0,0
Honduras,Melons,1,0,0
India,Bidis (hand-rolled cigarettes),1,0,0
India,Brassware,1,0,0
India,Bricks,1,1,1
India,Carpets,1,1,0
India,Cotton,1,0,0
India,Cottonseed (hybrid),1,1,1
India,Embellished Textiles,1,1,1
India,Fireworks,1,0,0
India,Footwear,1,0,0
India,Garments,1,1,1
India,Gems,1,0,0
India,Glass Bangles,1,0,0
India,Incense (agarbatti),1,0,0
India,Leather Goods/Accessories,1,0,0
India,Locks,1,0,0
India,Matches,1,0,0
India,Mica,1,0,0
India,Recovered Metals (electronic waste),1,0,0
India,Rice,1,1,1
India,Sandstone,1,1,0
India,Shrimp,0,1,0
India,Silk Fabric,1,0,0
India,Silk Thread,1,0,0
India,Soccer Balls,1,0,0
India,Stones,1,1,1
India,Sugarcane,1,1,0
India,Tea,0,1,0
India,Thread/Yarn,1,1,0
Indonesia,Fish,1,1,0
Indonesia,Footwear (sandals),1,0,0
Indonesia,Gold,1,0,0
Indonesia,Nickel,0,1,0
Indonesia,Palm Fruit,1,1,0
Indonesia,Rubber,1,0,0
